469 4
1.52588e-05 -0.499985 | 0.0547988 
1.60698 1.51381 | -0.0179985 3.19828 
1.74059 1.84892 | -0.0161784 0.986379 
1.60844 1.87724 | -0.014414 0.125202 
1.44618 1.97133 | -0.0108681 -1.8453 188.641 
1.47847 1.86467 | -0.0128761 -0.581329 185.098 
1.29012 1.8362 | -0.0101736 -1.9286 71.0408 
1.20891 1.92125 | -0.00747536 -3.57401 3.84011 
1.17305 1.97112 | -0.00600755 -4.46217 -22.6053 -0.000154893 
1.02962 1.98579 | -0.00262732 -6.39763 -98.8271 -1.44154e-07 
1.06935 1.82704 | -0.00578452 -4.35984 -103.271 -1.6409e-05 
1.21486 1.7805 | -0.00942514 -2.20635 -4.78641 -0.00236381 
1.01118 1.68532 | -0.00601185 -3.89071 -131.097 -0.00015111 
1.15495 1.58195 | -0.0101199 -1.21551 -76.14 -0.03573 
1.20781 1.53319 | -0.0115454 -0.234759 -35.9662 -0.162153 
1.34596 1.55675 | -0.0139335 0.970753 
1.3228 1.60506 | -0.0131645 0.374758 
1.25917 1.63264 | -0.0117766 -0.475129 21.9163 
1.31612 1.73851 | -0.0117876 -0.803939 84.3983 
1.42204 1.66582 | -0.014278 0.742948 
1.47105 1.68977 | -0.0147876 0.91872 
1.4695 1.53514 | -0.0160405 2.15396 
1.36809 1.33504 | -0.0153969 2.77118 
1.20891 1.42125 | -0.0121879 0.604109 
1.11699 1.49666 | -0.00989081 -1.01461 -111.59 -0.0788763 
1.02974 1.43416 | -0.0082566 -1.67956 -153.969 -0.0545701 
1.00569 1.26195 | -0.0081979 -0.8469 -173.709 -0.396785 
1.1216 1.27943 | -0.0108074 0.549347 
1.14531 1.28944 | -0.0112963 0.770447 
1.24864 1.28264 | -0.0133809 1.96669 
1.16087 1.23421 | -0.0116905 1.30202 
1.14244 1.04195 | -0.0110659 2.17887 
1.34892 1.24059 | -0.0152402 3.20861 
1.62953 1.11159 | -0.0191675 5.95783 
1.65221 1.49269 | -0.0186425 3.58968 
1.99504 1.4062 | -0.0216547 5.0563 
2.00002 1.00002 | -0.0217001 7.49992 
2.31389 1.3047 | -0.0222607 5.06017 
2.55779 1.08092 | -0.0210781 4.91846 
2.91508 1.03963 | -0.0171293 1.4828 
2.91057 1.19121 | -0.0174502 0.694681 
2.83018 1.33955 | -0.0183339 0.727829 
2.86754 1.25212 | -0.0180168 0.853934 
2.96056 1.29927 | -0.016617 -0.627676 -165.482 -0.0215638 
2.99965 1.39964 | -0.015707 -1.83707 -160.035 -0.0675935 
2.85704 1.43459 | -0.0176327 -0.245911 -99.9653 -0.0898985 
2.77501 1.42213 | -0.0187002 0.772729 
2.69557 1.45738 | -0.0193816 1.33023 
2.59196 1.36211 | -0.0207009 2.92818 
2.50002 1.50002 | -0.0206998 2.63867 
2.65688 1.64507 | -0.0184318 0.237973 
2.70299 1.74345 | -0.0170166 -1.03097 68.0373 
2.74718 1.59962 | -0.017909 -0.273898 12.6505 
2.66347 1.60442 | -0.0187165 0.507756 
2.67928 1.54448 | -0.0190163 0.832186 
2.75002 1.50002 | -0.0185747 0.468477 
2.81252 1.56252 | -0.0174341 -0.688225 -51.137 -0.229986 
2.87502 1.50002 | -0.0170435 -0.94214 -106.053 -0.154804 
2.87502 1.62502 | -0.0161372 -1.91871 -93.5525 -0.345369 
2.87498 1.74998 | -0.0149191 -2.97277 -81.0353 -0.60785 
2.81248 1.68748 | -0.0163722 -1.70326 -38.6135 -0.453603 
2.75002 1.68752 | -0.0170981 -1.02568 18.7649 
2.75002 1.75002 | -0.0164497 -1.56279 25.0149 
2.75563 1.79665 | -0.0158529 -2.03496 24.387 
2.79103 1.83446 | -0.0149815 -2.75843 -4.77003 -0.7458 
2.84328 1.76128 | -0.0152116 -2.69354 -56.8115 -0.621995 
2.91893 1.83208 | -0.0133362 -4.25538 -97.7337 -0.796407 
2.99803 1.87971 | -0.0115113 -5.75045 -112.017 -0.894441 
2.92455 1.97041 | -0.011315 -5.64232 -86.3996 -0.981981 
2.8647 1.93385 | -0.0126963 -4.54188 -55.5761 -0.9323 
2.81487 1.92982 | -0.013393 -3.92171 -16.4458 -0.900223 
2.78984 1.89268 | -0.0142228 -3.28792 2.13845 
2.77483 1.93456 | -0.0138 -3.52539 20.1804 
2.62529 1.82097 | -0.0168353 -1.00501 137.987 
2.49998 1.99998 | -0.0152003 -1.73585 199.998 
2.37498 1.99998 | -0.015794 -0.97633 156.042 
2.37498 1.87498 | -0.0176378 0.234598 
2.36986 1.7523 | -0.0191611 1.37361 
2.49998 1.74998 | -0.0185753 0.607878 
2.40529 1.60408 | -0.0204458 2.42663 
2.24998 1.74998 | -0.0194502 1.90991 
2.1306 1.61885 | -0.0206975 3.32986 
2.00002 1.75002 | -0.0190749 2.34362 
2.12502 1.87502 | -0.0178873 1.10226 
2.18752 1.93752 | -0.0170592 0.370906 
2.18748 1.99998 | -0.0160987 -0.243948 -7.42856 -0.378317 
2.12498 1.99998 | -0.016044 -0.108328 -56.0851 -0.392956 
2.00002 2.00002 | -0.0156998 -0.00015259 -99.9985 -0.458317 
2.0258 2.20634 | -0.0120693 -2.17451 -77.3998 -0.264332 
2.08434 2.13789 | -0.0135698 -1.47587 -65.6444 -0.400545 
2.12502 2.18752 | -0.0126919 -2.07159 -37.3117 -0.368234 
2.20039 2.22816 | -0.0119288 -2.69067 26.805 
2.4127 2.05159 | -0.0147955 -1.70537 183.146 
2.45634 2.4008 | -0.00742361 -5.85582 234.467 
2.2123 2.42659 | -0.00745326 -5.03383 57.4423 
2.18748 2.31248 | -0.0101222 -3.61307 23.8214 
2.16566 2.32539 | -0.0098231 -3.70923 6.71305 
2.07341 2.3373 | -0.00940534 -3.6948 -50.5991 -0.131811 
2.10316 2.42461 | -0.00740962 -4.7707 -27.1208 -0.068459 
2.0992 2.58134 | -0.00331726 -6.72668 -13.6668 -0.00938291 
2.23909 2.5248 | -0.00493389 -6.33345 92.1916 
2.12502 2.62502 | -0.00213709 -7.3353 6.43831 
2.22816 2.63789 | -0.00181669 -7.75773 93.2614 
2.23909 2.7252 | 0.000777767 
2.0992 2.66866 | -0.000828902 -7.87264 -4.93576 -0.00235725 
2.04066 2.73711 | 0.00138084 
2.10316 2.82539 | 0.00401282 
2.22029 2.85518 | 0.00490029 
2.35118 2.97423 | 0.0092074 
2.45012 2.70467 | 0.000765797 
2.39839 2.71599 | 0.000875794 
2.26125 2.69209 | -0.000199078 -8.59236 129.785 
2.28017 2.50468 | -0.00541372 -6.2287 128.715 
2.71678 2.51067 | -0.00265092 -9.3265 132.174 
2.6371 2.59489 | -0.00113213 -9.65242 207.212 
2.73875 2.71648 | 0.00339957 
2.55852 2.73857 | 0.00245736 
2.66811 2.97112 | 0.0110597 
2.80159 2.9127 | 0.0104527 
2.99998 2.74998 | 0.00792428 
2.77184 2.70039 | 0.00328177 
2.8373 2.57341 | 0.000424007 
2.81248 2.56248 | -0.000184978 -11.0001 48.8865 
2.8373 2.55159 | -0.00017059 -11.145 26.9744 
2.89824 2.55397 | 0.000707736 
2.95741 2.58534 | 0.00242848 
2.96581 2.5359 | 0.00121097 
2.96519 2.47545 | -0.000377079 -11.7891 -48.8752 -0.112445 
2.93645 2.27937 | -0.00542599 -9.07867 -60.249 -0.495786 
2.8701 2.27357 | -0.006484 -8.18034 -25.3719 -0.498282 
2.75114 2.28703 | -0.00764599 -6.99448 77.6526 
2.76076 2.40996 | -0.00471553 -8.53885 80.8929 
2.67461 2.39684 | -0.00592334 -7.52242 158.135 
2.68718 2.35866 | -0.00670168 -7.18744 143.571 
2.54366 2.0992 | -0.0132335 -3.06908 204.318 
2.80159 2.1627 | -0.0096129 -6.15535 18.5228 
2.81252 2.18752 | -0.00899639 -6.54765 11.363 
2.86211 2.22816 | -0.00754493 -7.5731 -24.2948 -0.612412 
2.82341 2.1627 | -0.0093456 -6.40159 -0.462852 -0.75183 
2.95039 2.22816 | -0.00629787 -8.68435 -69.946 -0.632526 
2.9084 2.10622 | -0.00926939 -6.82088 -65.1964 -0.895629 
3.00002 2.00002 | -0.00969951 -6.94481 -99.9985 -1 
3.06981 2.05553 | -0.00761506 -8.51083 -80.2635 -0.965602 
3.00383 2.11919 | -0.00758954 -8.22512 -88.0388 -0.888187 
3.05623 2.19118 | -0.0053444 -9.7505 -71.6305 -0.72622 
3.12502 2.12502 | -0.00538694 -10.0785 -43.5813 -0.849892 
3.12502 2.18752 | -0.0041916 -10.7524 -37.3313 -0.716678 
3.18752 2.18752 | -0.00299627 -11.7561 11.3254 
3.24998 2.12498 | -0.00291935 -12.1393 62.4424 
3.25002 2.00002 | -0.00507444 -10.8511 49.9742 
3.37801 2.10982 | -0.00034534 -14.3151 169.001 
3.25002 2.25002 | -0.000449359 -13.5074 74.9742 
3.31252 2.31252 | 0.0022538 
3.37502 2.25002 | 0.00233193 
3.37502 2.37502 | 0.00511322 
3.24998 2.49998 | 0.00542428 
3.23384 2.34773 | 0.00136117 
3.23048 2.28624 | -8.18619e-05 -13.5817 60.2358 
3.17747 2.29192 | -0.00102262 -12.7603 13.1439 
3.08275 2.36269 | -0.00118916 -12.097 -43.9284 -0.293997 
3.02727 2.39116 | -0.00146769 -11.6224 -58.6941 -0.240168 
3.06865 2.45863 | 0.000887097 
3.00002 2.50002 | 0.000800641 
3.24232 2.60085 | 0.00798809 
3.06688 2.66112 | 0.00636344 
3.1501 2.77473 | 0.0113248 
3.43803 2.78716 | 0.0180179 
3.50002 2.50002 | 0.0113008 
3.66646 2.78786 | 0.0242179 
3.93895 2.50563 | 0.0247862 
3.99998 1.99998 | 0.0162992 
3.89256 1.70918 | 0.00874036 
3.73283 1.72371 | 0.00373851 
3.72978 1.61205 | 0.00260015 
3.67598 1.53993 | 0.000440698 
3.60878 1.6234 | -0.000860735 -14.562 128.679 
3.536 1.76436 | -0.00146616 -14.1663 172.627 
3.49086 1.94872 | -0.00023106 -14.9289 194.621 
3.35216 1.83672 | -0.00517126 -11.1305 123.441 
3.21587 1.96455 | -0.00633474 -9.91486 14.4912 
3.24678 1.92729 | -0.00625297 -10.081 39.6534 
3.20503 1.90242 | -0.00746516 -9.13205 -1.61622 -0.851251 
3.1465 1.89754 | -0.0086758 -8.12982 -51.0924 -0.882162 
3.08788 1.95592 | -0.00890266 -7.78259 -82.1386 -0.969473 
3.0204 1.90163 | -0.0108466 -6.27114 -108.611 -0.926899 
3.08965 1.81505 | -0.0108025 -6.48133 -95.343 -0.759077 
3.18297 1.79204 | -0.00933265 -7.74665 -32.1573 -0.673511 
3.19106 1.69398 | -0.0102379 -7.02544 -34.9316 -0.463633 
3.07002 1.69374 | -0.0124928 -5.12293 -116.357 -0.494515 
3.07021 1.57387 | -0.0135296 -4.1464 -128.27 -0.261884 
3.17271 1.56163 | -0.0117305 -5.64713 -63.8829 -0.230241 
3.24828 1.60451 | -0.00987492 -7.25689 8.78407 
3.30849 1.54088 | -0.00905059 -7.82561 57.9377 
3.4272 1.67738 | -0.00516084 -11.1792 152.297 
3.4474 1.46568 | -0.00623398 -9.91901 138.436 
3.33189 1.32066 | -0.00954256 -6.67942 55.8502 
3.31142 1.41856 | -0.00966983 -6.97396 48.274 
3.35979 1.49623 | -0.00817141 -8.43719 95.0474 
3.19548 1.44298 | -0.0119998 -5.13028 -56.1246 -0.0930574 
3.07594 1.31419 | -0.0146968 -2.35702 -151.843 -0.0259285 
3.20232 1.20622 | -0.0124532 -3.67607 -73.6878 -0.00450831 
3.09297 1.08488 | -0.0143935 -1.23818 -166.659 -0.000138663 
3.27852 1.0381 | -0.0106059 -4.04559 -19.4971 -4.86666e-06 
3.34712 1.07918 | -0.00919513 -5.51391 43.8406 
3.29243 1.14354 | -0.010534 -4.86912 3.83417 
3.42485 1.15208 | -0.00747445 -7.41685 98.7742 
3.55128 1.00914 | -0.00387602 -9.25761 93.2095 
3.6273 1.16689 | -0.00211706 -11.7938 71.2454 
3.51436 1.286 | -0.00515066 -10.06 127.994 
3.64122 1.3766 | -0.00141696 -13.4432 82.4257 
3.69902 1.46007 | 0.000646974 
3.73705 1.35478 | 0.00136466 
3.76717 1.27629 | 0.0021183 
3.95448 1.27962 | 0.0083455 
3.99998 0.999985 | 0.0102995 
3.84764 0.789322 | 0.00633377 
3.7133 0.948349 | 0.00103413 
3.69502 0.881424 | 0.000865832 
3.65169 0.880814 | -0.000407231 -10.8845 25.0005 
3.60628 0.958054 | -0.00213846 -10.2122 63.6188 
3.61061 0.849533 | -0.0013735 -9.81862 50.1955 
3.61626 0.764023 | -0.000541408 -9.6002 38.1668 
3.66405 0.832565 | 0.000284426 
3.7137 0.762161 | 0.00232988 
3.64268 0.687515 | 0.000939804 
3.56407 0.740097 | -0.00177798 -8.35769 62.0378 
3.52797 0.634476 | -0.0016668 -7.21953 61.1459 
3.53325 0.558945 | -0.000614955 -7.10641 52.6434 
3.6263 0.504715 | 0.00267744 
3.68263 0.586868 | 0.00324129 
3.99998 0.499985 | 0.0147997 
3.74998 0.249985 | 0.0105498 
3.50002 0.250015 | 0.00342511 
3.62502 0.375015 | 0.00461268 
3.62498 0.499985 | 0.00270603 
3.56248 0.437485 | 0.00187794 
3.49998 0.499985 | -0.000700183 -6.24964 49.9985 
3.37498 0.499985 | -0.00379389 -3.75401 6.02238 
3.31248 0.437485 | -0.00430948 -2.44109 -48.9024 -0.200275 
3.37498 0.374985 | -0.00188761 -3.48058 -6.47762 -0.263518 
3.31248 0.312485 | -0.00224694 -2.20673 -61.4024 -0.395067 
3.31252 0.250015 | -0.00109839 -2.11944 -67.6228 -0.509756 
3.37502 0.250015 | 0.000331319 
3.49998 0.249985 | 0.00342489 
3.37498 0.124985 | 0.00286247 
3.25002 0.125015 | 8.12424e-05 
3.31252 0.187515 | 0.000128156 
3.31248 0.249985 | -0.00109849 -2.11884 -67.6524 -0.509834 
3.24998 0.249985 | -0.00245003 -1.00666 -125.058 -0.550055 
3.18748 0.249985 | -0.00372345 0.051269 
3.18748 0.187485 | -0.00249687 0.119624 
3.18752 0.125015 | -0.00119221 0.167925 
3.24998 0.124985 | 8.12576e-05 
3.18748 0.0624847 | 0.000190671 
3.12498 0.124985 | -0.00238745 1.17212 
3.00002 0.250015 | -0.00707505 2.89907 
3.00002 0.500015 | -0.0112 2.43031 
3.00731 0.645706 | -0.0129101 1.91133 
3.08769 0.69957 | -0.0121157 0.560711 
3.1418 0.651993 | -0.010627 -0.116258 -179.131 -0.0377032 
3.2914 0.514603 | -0.00589083 -2.24333 -60.0037 -0.119363 
3.31859 0.614365 | -0.00655792 -3.01774 -25.9427 -0.0474272 
3.38719 0.556931 | -0.00427037 -4.13863 19.5354 
3.40019 0.679092 | -0.00538194 -4.76777 39.3413 
3.34264 0.71727 | -0.00711354 -3.80474 4.15062 
3.26634 0.64537 | -0.008053 -2.17752 -70.1298 -0.0364682 
3.30397 0.783615 | -0.00857873 -3.34304 -21.7827 -0.00489204 
3.35597 0.853653 | -0.00793772 -4.59029 27.9886 
3.40907 0.784378 | -0.00615401 -5.32622 54.5917 
3.39922 0.92543 | -0.00736493 -5.73692 63.4325 
3.31932 0.984604 | -0.00950726 -4.51116 11.7078 
3.30617 0.883133 | -0.00925988 -3.79754 -9.8826 -0.000415868 
3.2354 0.958603 | -0.0111968 -2.89596 -67.9242 -7.11205e-06 
3.1082 0.848007 | -0.0130127 -0.326314 -181.874 -0.00141578 
3.03731 0.80043 | -0.0138926 0.926005 
3.02071 0.882309 | -0.0147551 0.81882 
2.99998 0.999985 | -0.0157002 0.555844 
2.81828 0.790665 | -0.0170017 3.78721 
2.86028 0.503647 | -0.0132913 4.22645 
2.718 0.835648 | -0.0184892 4.67418 
2.06407 0.866867 | -0.0212055 8.09285 
2.42424 0.589645 | -0.0182718 7.88094 
2.19228 0.254654 | -0.0135626 9.58114 
2.52522 0.116257 | -0.00969731 8.05052 
2.80763 0.336044 | -0.0113436 5.18803 
2.95934 0.164078 | -0.00600275 3.54156 
2.99998 -1.52588e-05 | -0.00169988 3.05577 
2.81413 -0.0833282 | -0.0022591 5.37978 
2.9778 -0.136642 | 0.00141584 
2.95604 -0.491501 | 0.0118277 
2.83333 -0.371719 | 0.00621406 
2.68599 -0.47966 | 0.00807444 
2.61336 -0.272202 | 0.000882418 
2.68587 -0.166672 | -0.00146141 6.66379 
2.49998 -1.52588e-05 | -0.00719973 8.26399 
2.24998 -0.250015 | -0.00144957 9.40976 
2.25002 -0.499985 | 0.0064245 
2.49998 -0.500015 | 0.00730043 
2.02547 -0.672623 | 0.0128718 
2.33543 -0.847885 | 0.0196218 
3.00002 -0.999985 | 0.0322996 
3.03383 -0.439163 | 0.0113213 
3.00996 -0.251266 | 0.00512216 
3.20082 -0.242722 | 0.00833088 
3.50002 -0.499985 | 0.0232999 
3.99998 -0.500015 | 0.0388 
3.74998 -0.750015 | 0.0395501 
0.892868 0.87294 | -0.00434438 -0.417152 -180.002 -1.45292 
0.941176 0.941176
