457 4
3.05176e-05 -0.499969 | 0.0547976 
2.96866 1.30118 | -0.0164893 -0.748627 -166.977 -0.0221394 
2.98898 1.40195 | -0.0158672 -1.70591 -159.444 -0.069108 
2.84622 1.43399 | -0.0177765 -0.11368 -91.8384 -0.0888717 
2.77988 1.43332 | -0.0185931 0.640326 
2.6926 1.46158 | -0.0193893 1.32829 
2.58279 1.36368 | -0.0207668 2.99228 
2.50003 1.50003 | -0.0206996 2.63845 
2.67184 1.6445 | -0.0182978 0.104495 
2.69302 1.74686 | -0.0170788 -0.964061 77.2695 
2.74106 1.60495 | -0.0179327 -0.253324 18.9454 
2.66251 1.59396 | -0.0188088 0.600184 
2.67545 1.53787 | -0.0190979 0.919131 
2.75003 1.50003 | -0.0185745 0.468203 
2.81253 1.56253 | -0.0174338 -0.688517 -51.1487 -0.230011 
2.87503 1.50003 | -0.0170432 -0.94244 -106.061 -0.154823 
2.87503 1.62503 | -0.0161368 -1.91902 -93.5612 -0.3454 
2.87497 1.74997 | -0.0149195 -2.97245 -81.0266 -0.607811 
2.81247 1.68747 | -0.0163725 -1.70296 -38.6017 -0.453566 
2.75003 1.68753 | -0.0170978 -1.02597 18.7521 
2.75003 1.75003 | -0.0164493 -1.56308 25.0021 
2.75571 1.79648 | -0.015854 -2.03426 24.2984 
2.79147 1.8342 | -0.0149795 -2.76091 -5.1991 -0.745584 
2.84299 1.76144 | -0.0152135 -2.69162 -56.567 -0.62225 
2.91843 1.83298 | -0.013332 -4.2572 -97.4115 -0.798071 
2.99655 1.88077 | -0.0115206 -5.73985 -111.887 -0.896139 
2.9249 1.97061 | -0.0113068 -5.64878 -86.5305 -0.982174 
2.86502 1.93423 | -0.0126865 -4.54942 -55.7647 -0.932821 
2.81497 1.93033 | -0.0133843 -3.92777 -16.4879 -0.900783 
2.78915 1.89188 | -0.014242 -3.27274 2.68492 
2.77536 1.93423 | -0.0137986 -3.52804 19.6513 
2.63315 1.82571 | -0.0167086 -1.11695 133.089 
2.49997 1.99997 | -0.0152007 -1.73559 199.997 
2.37497 1.99997 | -0.0157943 -0.976098 156.03 
2.37497 1.87497 | -0.017638 0.23482 
2.36972 1.75302 | -0.0191536 1.36803 
2.49997 1.74997 | -0.0185755 0.608118 
2.4039 1.59671 | -0.0205105 2.49341 
2.24997 1.74997 | -0.0194504 1.9101 
2.13077 1.61765 | -0.0207078 3.33931 
2.00003 1.75003 | -0.0190748 2.34348 
2.12503 1.87503 | -0.0178871 1.10209 
2.18753 1.93753 | -0.0170589 0.370719 
2.18747 1.99997 | -0.0160989 -0.243756 -7.44337 -0.378308 
2.12497 1.99997 | -0.0160442 -0.108149 -56.0968 -0.392951 
2.00003 2.00003 | -0.0156996 -0.000305185 -99.9969 -0.458313 
2.02579 2.20633 | -0.0120695 -2.17434 -77.4037 -0.264338 
2.08432 2.13791 | -0.0135694 -1.47601 -65.6501 -0.400525 
2.12503 2.18753 | -0.0126916 -2.07178 -37.3 -0.368224 
2.20041 2.22818 | -0.0119285 -2.69088 26.8202 
2.41269 2.05161 | -0.0147953 -1.70543 183.14 
2.45633 2.40079 | -0.00742405 -5.85554 234.462 
2.21231 2.42661 | -0.00745288 -5.03406 57.4579 
2.18747 2.31247 | -0.0101225 -3.61285 23.8066 
2.16568 2.32541 | -0.00982277 -3.70944 6.72699 
2.07339 2.33731 | -0.00940495 -3.69496 -50.6039 -0.131784 
2.10318 2.42459 | -0.00741003 -4.77054 -27.1137 -0.068476 
2.09921 2.58133 | -0.00331771 -6.72651 -13.66 -0.00938587 
2.23911 2.52481 | -0.00493347 -6.3337 92.2074 
2.12503 2.62503 | -0.00213668 -7.33552 6.45 
2.22818 2.63791 | -0.00181624 -7.75798 93.2772 
2.23911 2.72519 | 0.000777313 
2.09921 2.66867 | -0.000828484 -7.87286 -4.92584 -0.00235683 
2.04068 2.73709 | 0.00138032 
2.10318 2.82541 | 0.00401328 
2.34097 2.96896 | 0.00899106 
2.44046 2.7037 | 0.000689493 
2.3959 2.70651 | 0.000579584 
2.25522 2.69144 | -0.000225673 -8.56192 124.047 
2.26968 2.5134 | -0.00520132 -6.29798 119.83 
2.71304 2.52341 | -0.00235381 -9.44973 136.886 
2.64047 2.60532 | -0.000810705 -9.81783 205.821 
2.7457 2.71286 | 0.00336531 
2.55508 2.73666 | 0.0023742 
2.63577 2.97861 | 0.0110334 
2.80161 2.91269 | 0.0104523 
2.99997 2.74997 | 0.00792357 
2.77182 2.70041 | 0.00328205 
2.83731 2.57339 | 0.000423783 
2.81247 2.56247 | -0.00018558 -10.9997 48.8983 
2.83731 2.55161 | -0.000169983 -11.1454 26.9636 
2.89816 2.55429 | 0.000715348 
2.95712 2.58469 | 0.00240591 
2.96585 2.53537 | 0.0011974 
2.96536 2.47482 | -0.000390465 -11.7836 -48.9721 -0.113162 
2.93704 2.27963 | -0.00541162 -9.08937 -60.4403 -0.495184 
2.87027 2.27353 | -0.00648274 -8.18185 -25.4917 -0.498441 
2.75235 2.28702 | -0.00763302 -7.00689 76.515 
2.76041 2.40952 | -0.00473017 -8.52981 81.1787 
2.67459 2.39682 | -0.00592385 -7.5221 158.147 
2.686 2.35977 | -0.00668729 -7.18938 144.703 
2.54367 2.09921 | -0.0132331 -3.06936 204.316 
2.80161 2.16269 | -0.00961301 -6.15536 18.5076 
2.81253 2.18753 | -0.0089959 -6.54799 11.3513 
2.86209 2.22818 | -0.00754481 -7.57308 -24.2823 -0.612369 
2.82339 2.16269 | -0.00934608 -6.40125 -0.451499 -0.751854 
2.95041 2.22818 | -0.00629732 -8.68472 -69.9489 -0.632488 
2.90854 2.10745 | -0.00924503 -6.83563 -65.1432 -0.893672 
3.00003 2.00003 | -0.00969902 -6.94517 -99.9969 -1 
3.07004 2.05576 | -0.00760716 -8.51658 -80.1489 -0.965336 
3.00314 2.12027 | -0.00758064 -8.22703 -87.9445 -0.886231 
3.05746 2.19064 | -0.0053338 -9.76279 -71.2769 -0.727331 
3.12503 2.12503 | -0.00538637 -10.0789 -43.5697 -0.849858 
3.12503 2.18753 | -0.00419102 -10.7528 -37.3197 -0.716636 
3.18753 2.18753 | -0.00299567 -11.7565 11.3402 
3.24997 2.12497 | -0.00291996 -12.1389 62.4265 
3.25003 2.00003 | -0.00507387 -10.8515 49.9901 
3.37808 2.10983 | -0.000343265 -14.3168 169.052 
3.25003 2.25003 | -0.000448718 -13.5078 74.9901 
3.31253 2.31253 | 0.00225448 
3.37503 2.25003 | 0.00233261 
3.37503 2.37503 | 0.00511393 
3.24997 2.49997 | 0.00542357 
3.22781 2.3541 | 0.00138337 
3.22452 2.28134 | -0.000310637 -13.4241 54.1798 
3.17215 2.28629 | -0.00124909 -12.609 8.11254 
3.09354 2.36435 | -0.000958833 -12.2797 -38.418 -0.289366 
3.0209 2.39719 | -0.00142861 -11.6041 -58.9939 -0.229045 
3.06784 2.45322 | 0.00073699 
3.00003 2.50003 | 0.000801282 
3.22244 2.58176 | 0.0070464 
3.0936 2.65689 | 0.00671047 
3.12985 2.78445 | 0.0112512 
3.50003 2.50003 | 0.0113016 
3.94461 2.51236 | 0.0251595 
3.99997 1.99997 | 0.0162984 
3.9343 1.67007 | 0.00978751 
3.73434 1.7236 | 0.00378372 
3.72873 1.61057 | 0.00255577 
3.67868 1.53976 | 0.000519356 
3.60788 1.62405 | -0.000880532 -14.5472 129.278 
3.53659 1.76413 | -0.00145283 -14.177 172.477 
3.48923 1.94827 | -0.000279809 -14.8908 194.481 
3.35165 1.84366 | -0.00509397 -11.185 123.754 
3.21695 1.96335 | -0.00633113 -9.92133 15.3689 
3.2468 1.92606 | -0.00627062 -10.0694 39.5442 
3.20584 1.90427 | -0.00742293 -9.16316 -0.699157 -0.85298 
3.14761 1.89688 | -0.00866385 -8.14134 -50.3204 -0.880655 
3.0867 1.95535 | -0.00893205 -7.75933 -82.7721 -0.969499 
3.01993 1.90298 | -0.0108353 -6.27736 -108.532 -0.928818 
3.08932 1.81412 | -0.0108196 -6.46803 -95.597 -0.757227 
3.18314 1.78958 | -0.00935838 -7.72741 -32.2586 -0.668348 
3.19107 1.69467 | -0.0102308 -7.03151 -34.8495 -0.465037 
3.06851 1.69473 | -0.0125093 -5.10889 -116.857 -0.496901 
3.0676 1.57413 | -0.0135731 -4.10971 -129.275 -0.262498 
3.17068 1.56131 | -0.0117723 -5.6116 -65.6005 -0.230104 
3.24985 1.60294 | -0.00985463 -7.27155 10.1081 
3.30698 1.54099 | -0.00908333 -7.799 56.6172 
3.42191 1.67764 | -0.00528804 -11.0766 150.044 
3.44717 1.46872 | -0.00622347 -9.93668 138.67 
3.32993 1.32272 | -0.00958207 -6.65665 54.4354 
3.31174 1.41544 | -0.00967628 -6.95763 48.2409 
3.36148 1.49838 | -0.0081193 -8.4853 96.4887 
3.19888 1.44363 | -0.0119288 -5.19159 -53.0274 -0.0933242 
3.07352 1.3157 | -0.0147358 -2.33074 -152.726 -0.0264453 
3.2001 1.2048 | -0.0124977 -3.63061 -75.8175 -0.00439396 
3.09207 1.08023 | -0.0143986 -1.19933 -167.59 -0.000110703 
3.28104 1.03671 | -0.010547 -4.08314 -17.3044 -4.18234e-06 
3.34415 1.07822 | -0.00926097 -5.45312 41.431 
3.29092 1.14163 | -0.0105648 -4.83112 2.26819 
3.42484 1.14908 | -0.00747186 -7.39925 98.467 
3.55173 1.01077 | -0.00387026 -9.27539 93.2403 
3.62869 1.16574 | -0.00207664 -11.8185 70.1887 
3.51413 1.28659 | -0.00515565 -10.059 128.073 
3.64212 1.37595 | -0.00139332 -13.4592 81.7009 
3.69632 1.46024 | 0.000566949 
3.73557 1.35373 | 0.00131593 
3.76566 1.2764 | 0.00207114 
3.94162 1.27444 | 0.00788782 
3.99997 0.999969 | 0.010299 
3.83743 0.755646 | 0.00628637 
3.68759 0.938873 | 0.000311158 
3.64206 0.895172 | -0.000775449 -10.728 33.6683 
3.59976 0.943085 | -0.00224661 -9.99601 65.8229 
3.59854 0.851593 | -0.00172695 -9.5584 57.3447 
3.61429 0.756256 | -0.000528799 -9.52652 38.6188 
3.66043 0.834137 | 0.000167142 
3.71133 0.750519 | 0.00236165 
3.66446 0.702728 | 0.0014192 
3.56241 0.741302 | -0.0018344 -8.32605 62.7644 
3.53177 0.648834 | -0.00172608 -7.34632 61.9149 
3.51486 0.545868 | -0.00093249 -6.68109 53.9378 
3.64645 0.529266 | 0.00292112 
3.66513 0.563202 | 0.0030212 
3.99997 0.499969 | 0.0147993 
3.74997 0.249969 | 0.0105496 
3.50003 0.250031 | 0.00342521 
3.62503 0.375031 | 0.00461287 
3.62497 0.499969 | 0.00270581 
3.56247 0.437469 | 0.00187776 
3.49997 0.499969 | -0.000700366 -6.24929 49.9969 
3.37497 0.499969 | -0.00379404 -3.75368 6.01068 
3.31247 0.437469 | -0.00430959 -2.44078 -48.9172 -0.200299 
3.37497 0.374969 | -0.00188771 -3.48026 -6.48932 -0.263546 
3.31247 0.312469 | -0.00224701 -2.20643 -61.4172 -0.395103 
3.31253 0.250031 | -0.00109834 -2.11974 -67.608 -0.509718 
3.37503 0.250031 | 0.000331387 
3.49997 0.249969 | 0.00342479 
3.37497 0.124969 | 0.00286244 
3.25003 0.125031 | 8.12348e-05 
3.31253 0.187531 | 0.000128186 
3.31247 0.249969 | -0.00109854 -2.11855 -67.6672 -0.509873 
3.24997 0.249969 | -0.00245006 -1.00638 -125.074 -0.550095 
3.18747 0.249969 | -0.00372346 0.0515397 
3.18747 0.187469 | -0.00249686 0.11989 
3.18753 0.125031 | -0.00119224 0.167663 
3.24997 0.124969 | 8.12653e-05 
3.18747 0.0624695 | 0.000190717 
3.12497 0.124969 | -0.00238741 1.17237 
3.00003 0.250031 | -0.00707509 2.89884 
3.00003 0.500031 | -0.0111999 2.43006 
3.00644 0.645355 | -0.0129202 1.92463 
3.08829 0.699921 | -0.0121087 0.55049 
3.14383 0.650787 | -0.0105755 -0.144544 -177.757 -0.0381745 
3.29068 0.512848 | -0.00588239 -2.22597 -60.8328 -0.12111 
3.31705 0.613312 | -0.00658003 -2.9863 -27.3707 -0.0480383 
3.38882 0.55954 | -0.00426507 -4.17739 20.7923 
3.40317 0.675995 | -0.00527806 -4.8152 40.6565 
3.34116 0.721344 | -0.00718651 -3.79181 3.38902 
3.27066 0.647491 | -0.00798421 -2.26046 -65.8754 -0.0354396 
3.30154 0.787689 | -0.008666 -3.31514 -23.5375 -0.00454911 
3.35666 0.853119 | -0.00791814 -4.60094 28.4433 
3.4061 0.781281 | -0.00620003 -5.25593 52.7429 
3.39975 0.926727 | -0.00735923 -5.7533 63.8595 
3.31796 0.987701 | -0.00955089 -4.50156 10.8548 
3.30612 0.886017 | -0.00927909 -3.80947 -9.6347 -0.000376343 
3.23715 0.95932 | -0.0111639 -2.92952 -66.2049 -6.62016e-06 
3.10617 0.849213 | -0.013058 -0.300221 -182.946 -0.00137265 
3.03671 0.800079 | -0.0138998 0.93598 
3.02036 0.881439 | -0.0147554 0.827629 
2.99997 0.999969 | -0.0157004 0.556132 
2.84354 0.799957 | -0.0167583 3.45883 
2.86783 0.515472 | -0.0133543 4.10568 
2.70389 0.827606 | -0.0185742 4.84699 
2.03909 0.85025 | -0.0210178 8.18207 
2.42374 0.589569 | -0.0182732 7.88413 
2.19254 0.253021 | -0.0135318 9.58252 
2.52457 0.103973 | -0.00943382 8.06207 
2.78848 0.351959 | -0.0118452 5.37292 
2.96677 0.16568 | -0.00592251 3.44084 
2.99997 -3.05176e-05 | -0.00169976 3.05598 
2.81754 -0.0687561 | -0.00258908 5.34676 
2.99802 -0.139923 | 0.00182224 
2.93893 -0.464081 | 0.0106519 
2.86252 -0.36496 | 0.00638029 
2.65982 -0.47226 | 0.00757887 
2.61008 -0.251984 | 0.000264196 
2.68246 -0.181244 | -0.00109393 6.68345 
2.49997 -3.05176e-05 | -0.00719945 8.2641 
2.24997 -0.250031 | -0.00144915 9.40979 
2.25003 -0.499969 | 0.00642399 
2.49997 -0.500031 | 0.00730085 
2.05258 -0.675995 | 0.0129109 
2.39023 -0.857513 | 0.0201955 
3.00003 -0.999969 | 0.0322991 
3.50003 -0.499969 | 0.0232998 
3.99997 -0.500031 | 0.0387999 
3.74997 -0.750031 | 0.0395502 
0.891632 0.872284 | -0.00430776 -0.433305 -179.338 -1.45277 
0.941176 0.941176
